Thread 2: 21:07:39.630, Counter: 2
Thread 1: 21:07:39.630, Counter: 2
Thread 3: 21:07:39.630, Counter: 2
Thread 1: 21:07:39.906, Counter: 3
Thread 2: 21:07:40.146, Counter: 4
Thread 1: 21:07:40.162, Counter: 5
Thread 1: 21:07:40.418, Counter: 6
Thread 3: 21:07:40.657, Counter: 7
Thread 2: 21:07:40.657, Counter: 7
Thread 1: 21:07:40.673, Counter: 8
Thread 1: 21:07:40.928, Counter: 9
Thread 2: 21:07:41.160, Counter: 10
Thread 1: 21:07:41.188, Counter: 11
Thread 1: 21:07:41.444, Counter: 12
Thread 3: 21:07:41.661, Counter: 14
Thread 2: 21:07:41.661, Counter: 14
Thread 1: 21:07:41.708, Counter: 15
Thread 1: 21:07:41.972, Counter: 16
Thread 2: 21:07:42.166, Counter: 17
Thread 1: 21:07:42.228, Counter: 18
Thread 1: 21:07:42.479, Counter: 19
Thread 3: 21:07:42.668, Counter: 20
Thread 2: 21:07:42.668, Counter: 21
Thread 1: 21:07:42.731, Counter: 22
Thread 1: 21:07:42.987, Counter: 23
Thread 2: 21:07:43.177, Counter: 24
Thread 1: 21:07:43.241, Counter: 25
Thread 1: 21:07:43.492, Counter: 26
Thread 2: 21:07:43.679, Counter: 28
Thread 3: 21:07:43.679, Counter: 28
Thread 1: 21:07:43.745, Counter: 29
Thread 1: 21:07:44.010, Counter: 30
Thread 2: 21:07:44.186, Counter: 31
Thread 1: 21:07:44.264, Counter: 32
Thread 1: 21:07:44.516, Counter: 33
Thread 3: 21:07:44.686, Counter: 34
Thread 2: 21:07:44.701, Counter: 35
Thread 1: 21:07:44.780, Counter: 36
Thread 1: 21:07:45.045, Counter: 37
Thread 2: 21:07:45.216, Counter: 38
Thread 1: 21:07:45.296, Counter: 39
Thread 1: 21:07:45.561, Counter: 40
Thread 3: 21:07:45.688, Counter: 41
Thread 2: 21:07:45.719, Counter: 42
Thread 1: 21:07:45.812, Counter: 43
Thread 1: 21:07:46.062, Counter: 44
Thread 2: 21:07:46.234, Counter: 45
Thread 1: 21:07:46.327, Counter: 46
Thread 1: 21:07:46.591, Counter: 47
Thread 3: 21:07:46.701, Counter: 48
Thread 2: 21:07:46.747, Counter: 49
Thread 1: 21:07:46.855, Counter: 50
Thread 1: 21:07:47.107, Counter: 51
Thread 2: 21:07:47.248, Counter: 52
Thread 1: 21:07:47.359, Counter: 53
Thread 1: 21:07:47.624, Counter: 54
Thread 3: 21:07:47.703, Counter: 55
Thread 2: 21:07:47.749, Counter: 56
Thread 1: 21:07:47.874, Counter: 57
Thread 1: 21:07:48.128, Counter: 58
Thread 2: 21:07:48.253, Counter: 59
Thread 1: 21:07:48.379, Counter: 60
Thread 1: 21:07:48.630, Counter: 61
Thread 3: 21:07:48.709, Counter: 62
Thread 2: 21:07:48.756, Counter: 63
Thread 1: 21:07:48.895, Counter: 64
Thread 1: 21:07:49.146, Counter: 65
Thread 2: 21:07:49.271, Counter: 66
Thread 1: 21:07:49.410, Counter: 67
Thread 1: 21:07:49.663, Counter: 68
Thread 3: 21:07:49.724, Counter: 69
Thread 2: 21:07:49.786, Counter: 70
Thread 1: 21:07:49.927, Counter: 71
Thread 1: 21:07:50.177, Counter: 72
Thread 2: 21:07:50.287, Counter: 73
Thread 1: 21:07:50.429, Counter: 74
Thread 1: 21:07:50.694, Counter: 75
Thread 3: 21:07:50.726, Counter: 76
Thread 2: 21:07:50.788, Counter: 77
Thread 1: 21:07:50.945, Counter: 78
Thread 1: 21:07:51.199, Counter: 79
Thread 2: 21:07:51.292, Counter: 80
Thread 1: 21:07:51.451, Counter: 81
Thread 1: 21:07:51.715, Counter: 82
Thread 3: 21:07:51.731, Counter: 83
Thread 2: 21:07:51.793, Counter: 84
Thread 1: 21:07:51.965, Counter: 85
Thread 1: 21:07:52.216, Counter: 86
Thread 2: 21:07:52.295, Counter: 87
Thread 1: 21:07:52.479, Counter: 88
Thread 1: 21:07:52.744, Counter: 90
Thread 3: 21:07:52.744, Counter: 90
Thread 2: 21:07:52.806, Counter: 91
Thread 1: 21:07:52.995, Counter: 92
Thread 1: 21:07:53.248, Counter: 93
Thread 2: 21:07:53.309, Counter: 94
Thread 1: 21:07:53.510, Counter: 95
Thread 3: 21:07:53.747, Counter: 96
Thread 1: 21:07:53.762, Counter: 97
Thread 2: 21:07:53.809, Counter: 98
Thread 1: 21:07:54.015, Counter: 99
Thread 1: 21:07:54.279, Counter: 100
Thread 2: 21:07:54.311, Counter: 101
Thread 1: 21:07:54.530, Counter: 102
Thread 3: 21:07:54.749, Counter: 103
Thread 1: 21:07:54.780, Counter: 104
Thread 2: 21:07:54.811, Counter: 105
Thread 1: 21:07:55.045, Counter: 106
Thread 1: 21:07:55.296, Counter: 107
Thread 2: 21:07:55.312, Counter: 108
Thread 1: 21:07:55.559, Counter: 109
Thread 3: 21:07:55.761, Counter: 110
Thread 1: 21:07:55.825, Counter: 111
Thread 2: 21:07:55.825, Counter: 111
Thread 1: 21:07:56.090, Counter: 112
Thread 2: 21:07:56.325, Counter: 113
Thread 1: 21:07:56.341, Counter: 114
Thread 1: 21:07:56.605, Counter: 115
Thread 3: 21:07:56.762, Counter: 116
Thread 2: 21:07:56.827, Counter: 117
Thread 1: 21:07:56.858, Counter: 118
Thread 1: 21:07:57.112, Counter: 119
Thread 2: 21:07:57.330, Counter: 120
Thread 1: 21:07:57.377, Counter: 121
Thread 1: 21:07:57.642, Counter: 122
Thread 3: 21:07:57.768, Counter: 123
Thread 2: 21:07:57.830, Counter: 124
